content,label
体验还可以，偶尔会卡顿。,2
兼容性差，一些设备根本不能运行。,0
功能差不多够用，但细节做得不够好。,2
推荐给了朋友，他们也觉得很好用。,1
整体感觉非常流畅，真的很赞！,1
差评，不会再用了。,0
还在试用期，后续再看。,2
这个功能设计得非常贴心，使用体验很好！,1
功能和其他产品类似，没太大区别。,2
整体还行吧，没有太多惊喜。,2
UI做得真的不错，干净又舒服。,1
正常使用没问题，但也没有惊艳。,2
更新之后好多问题都解决了，体验大幅提升！,1
很多功能我暂时用不到，不好评价。,2
界面比较复古，看习惯了还行。,2
操作简单方便，界面也很清爽，五星好评。,1
这个功能一出直接解决了我的痛点。,1
客服态度特别好，问题都耐心解答了。,1
一直在用，每次更新都有新惊喜，点赞！,1
不是特别差，也谈不上好用。,2
做得太粗糙了，根本不像个正式产品。,0
用了两天，目前没发现明显问题。,2
设置很灵活，能够自由调节参数。,1
根本达不到宣传的效果，非常失望。,0
用户体验糟糕，界面乱七八糟。,0
闪退严重，点几下就崩了，服了。,0
安装之后一直打不开，垃圾。,0
超出预期，比我之前用的那个版本强太多了。,1
界面美观，功能齐全，值得推荐！,1
帮我省了不少时间和精力，太实用了。,1
适合轻度用户，重度用户可能不太够。,2
页面卡顿，操作延迟很严重。,0
数据经常丢失，严重影响使用。,0
广告太多了，根本没法用。,0
使用过程无卡顿，响应也很快。,1
界面不直观，根本不知道从哪开始。,0
初步体验还可以，暂时没有bug。,2
设计细节上很用心，感觉是认真做产品的团队。,1
使用几天下来非常顺手，体验极佳。,1
完全是个半成品，很多功能都不能用。,0
根本识别不了语音，误判率太高。,0
完全浪费时间，不推荐。,0
特别适合新手入门，学习成本很低。,1
整体感觉一般般，有待提升。,2
感觉比较平淡，没什么亮点。,2
中规中矩，适合普通需求。,2
反馈没人理，更新也不修bug。,0
语义识别比以前准多了，技术有进步。,1
下载速度一般，能接受。,2
bug太多了，使用体验极差。,0
界面还可以，但功能中规中矩。,2
看起来很美好，用起来问题一堆。,0
内容有点杂，需要整理。,2
如果能再优化一点可能会更好。,2
功能很全，而且没有广告，真的太棒了！,1
功能没啥用，鸡肋。,0
加载时间太长了，效率太低。,0
功能逻辑清晰，体验非常友好。,1
明明付了费还要一直弹窗，真恶心。,0
功能都能找到，就是设计有点老套。,2
